Titel,Synonyms,Brand Names
"Benzocaine","Ethyl Aminobenzoate; Ethyl P-Aminobenzoate; Ethyl P-Aminophenylcarboxylate; Ethylester Kyseliny P-Aminobenzoove; P-Aminobenzoic Acid, Ethyl Ester; P-Carbethoxyaniline; P-Ethoxycarboxylic Aniline","Aethoform; Amben Ethyl Ester; Americaine; Anaesthan-Syngala; Anaesthesin; Anaesthin; Anestezin; Anesthesin; Anesthesine; Anesthone; Baby Anbesol; Dermoplast; Ethoform; Hurricaine; Identhesin; Keloform; Norcain; Norcaine; Ora-Jel; Orthesin; Parathesin; Parathesine; Solu H; Topcaine"
"Primaquine",,"Neo-Quipenyl; Primachin"
"Iloprost","iloprost","Ventavis"
"Deserpidine","Deresperine; Desepridine; Deserpidin; Deserpidina [INN-Spanish]; Deserpidinum [INN-Latin]; Deserpine; Desmethoxyreserpine","Aescin; beta-Escin; Canescin; Canescine; Enduronyl; Harmonyl; Raunorine; Raunormin; Raunormine; Recanescin; Recanescine; Reserpidine; Tranquinil"
"Pentolinium","Pentolinium tartrate; Pentolonium; Pentolonum","Ansolysen"
"Butenafine","Butenafina [INN-Spanish]; Butenafine [INN]; Butenafine HCL; Butenafine hydrochloride; Butenafinum [INN-Latin]","Lotrimin Ultra; Mentax; Mentax-tc"
"Ouabain","G-Strophanthin; Ouabagenin L-Rhamnoside; Ouabain Octahydrate; Ouabain, Octahydrate; Ouabaine; Strophanthin G; Strophanthin-G","Acocantherin; Astrobain; G-Strophicor; Gratibain; Gratus Strophanthin; Kombetin; Purostrophan; Rectobaina; Solufantina; Strodival; Strophalen; Strophoperm; Strophosan; Uabaina; Uabanin"
"Dimethyl sulfoxide","Diemthyl sulfoxide; Dimethyl sulfoxide BP; Dimethyl sulfur oxide; Dimethyl sulphoxide; Dimethyl sulpoxide; Dimexidum; Methyl sulfoxide; Methylsulfinylmethane; Sulfinylbis-methane; Sulfinylbismethane; Sulfinyldimethane","Decap; Deltan; Demasorb; Demavet; Demeso; Demsodrox; Dermasorb; Dimexide; Dipirartril-tropico; Dolicur; Doligur; Domoso; Dromisol; Durasorb; Gamasol 90; Hyadur; Infiltrina; Kemsol; Rimso 50; Sclerosol; Somipront; Syntexan; Topsym"
"Hesperetin","Cyanidanon 4'-Methyl Ether 1626; Hesperitin; YSO2","Hesperin"
"Fluvastatin","Fluindostatin ; Fluvastatin sodium; Fluvastatina [INN-Spanish] ; Fluvastatine [INN-French] ; Fluvastatinum [INN-Latin] ","Canef; Cranoc; Lescol; Lescol XL"
"Oxamniquine",,"Mansil; Vansil"
"Leflunomide","leflunomide; Leflunomidum [INN-Latin]; Lefunomide [INN-Spanish]","Arava"
"Rosuvastatin","Rosuvastatin calcium ; ZD-4522 ","Astende; Cirantan; Cresadex; Crestor; Provisacor ; Razel; Rosedex; Rosimol; Rosumed; Rosustatin; Rosuvas; Rosuvast; Rosvel; Rovartal; Simestat; Sinlip; Visacor; Vivacor"
"Flucytosine","5-FC; 5-Fluorocystosine; 5-Fluorocytosin; 5-Fluorocytosine; 5-Flurocytosine; Flucytosin; Fluocytosine; Fluorcytosine","Ancobon; Ancotil"
"Pimozide","Pimozida [INN-Spanish]; Pimozidum [INN-Latin]","Halomonth; Neoperidole; Opiran; Orap"
"Capecitabine","capecitabine; R340","Xeloda"
"Arbutamine",,"GenESA"
"Quinacrine","Quinacrine Dihydrochloride","Acrichine; Acrinamine; Acriquine; Akrichin; Antimalarina; Atabrine; Atebrin; Atebrine; Erion; Erion Hydrochloride; Haffkinine; Italchine; Mepacrine; Quinactine"
"Sertraline","Sertralina [Spanish]; Sertraline Hydrochloride; Sertralinum [Latin]","Apo-Sertraline; Lustral; Zoloft"
"Sibutramine","Sibutramina [Spanish]; Sibutraminum [Latin]","Butramin; Medaria; Meridia; Reductil"
"Levocabastine","Levocabastin; Levocabastina [Spanish]; Levocabastinum [Latin]","Livostin"
"Methyprylon","Dea No. 2575; Methprylon; Methyprolon; Methyprylon [INN]; Methyprylone [INN-French]; Methyprylonum [INN-Latin]; Metiprilon; Metiprilona [INN-Spanish]; Metiprilone","Dimerin; Noctan; Nodular; Noludar"
"Trilostane","trilostane","Desopan; Modrastane; Modrenal"
"Heparin","Alpha-Heparin; heparin; Heparin sodium; Heparin sodium preservative Free; Heparin sodium salt; Heparin sulfate; Heparinate; Heparinic acid; Sodium heparin","Ariven; Arteven; Calcilean; Calciparine; Certoparin; Depo-Heparin; Eparina [DCIT]; Hed-Heparin; Hepalean; Heparin Cy 216; Heparin Leo; Heparin Lock Flush; Hepathrom; Leparan; Lipo-Hepin; Liquaemin; Liquaemin Sodium; Liquemin; Multiparin; Novoheparin; Pabyrin; Parvoparin; Pularin; Thromboliquine; Vetren"
"Miconazole","MCZ; miconazole","Daktarin; Femizol-M; M-zole 3 Combination Pack; M-zole 7 Dual Pack; Micatin; Miconazole 3; Miconazole 3 Combination Pack; Miconazole 7; Miconazole 7 Combination Pack; Miconazole Nitrate; Miconazole Nitrate Combination Pack; Miconazole-7; Micozole; Minostate; Monazole 7; Monistat; Monistat 1 Combination Pack; Monistat 3; Monistat 3 Combination Pack; Monistat 3 Dual-Pak; Monistat 3 Vaginal Ovules; Monistat 5; Monistat 5 Tampon; Monistat 7; Monistat 7 Combination Pack; Monistat 7 Dual-Pak; Monistat 7 Vaginal Suppositories; Monistat Dual- PAK; Monistat IV; Monistat-3 Combination Pack; Monistat-Derm; Novo-Miconazole Vaginal Ovules; Vusion; Zimycan"
"Colistimethate","Colistimethale Sodium; Colistimethate sodium; Colistin methanesulfonate sodium salt; Colistin sodium methanesulfonate; Colistin sodium methanesulfonate from bacillus colistinus","Coly-Mycin; Coly-Mycin M"
"Cefuroxime","Cefuroxim; Cefuroxime [USAN:BAN:INN]; Cefuroximo [INN-Spanish]; Cefuroximum [INN-Latin]","Ancef; Biofuroksym; Cedax; Cefizox; Cefobid; Cefotan; Ceftin; Cefurax; Cefuril; Cefzil; Cepazine; Cephuroxime; Duricef; Elobact; Kefurox; Kefzol; Kerurox; Mandol; Maxipime; Mefoxin; Monocid; Oraxim; Rocephin; Sharox; Velosef; Zinacef; Zinat; Zinnat"
"Papaverine","Chlorhydrate de Papaverine; Papavarine Chlorhydrate; Papaverin; Papaverine Chlorohydrate; Papaverine Hcl; Papaverine Hydrochloride; Papaverine Monohydrochloride; Papaverinium Chloride","Alapav; Artegodan; Cardiospan; Cardoverina; Cepaverin; Cerebid; Cerespan; Delapav; Dilaves; Dispamil; Drapavel; Durapav; Dynovas; Forpavin; Genabid; Myobid; Optenyl; Pameion; Pamelon; Panergon; Pap H; Papacon; Papalease; Papanerin; Papanerin-Hcl; Papanerine; Papaversan; Papital T.R.; Paptial T.R.; Pavabid; Pavabid Hp; Pavacap; Pavacels; Pavacen; Pavacot; Pavadel; Pavagen; Pavakey; Pavarine; Pavased; Pavatest; Pavatine; Pavatym; Paverolan; Paveron; Pavnell; Qua Bid; Ro-Papav; Robaxapap; Spasmo-Nit; Therapav; Vasal; Vaso-Pav"
"Chlorpheniramine","Chloropheniramine; Chlorophenylpyridamin; Chlorophenylpyridamine; Chloroprophenpyridamine; Chlorphenamine; Chlorpheniramine Maleate; Chlorprophenpyridamine; Clorfeniramina; Dexchlorpheniramine; Dexchlorpheniramine Maleate","Aller-Chlor; Allergican; Allergisan; Antagonate; Chlo-Amine; Chlor-Trimeton; Chlor-Trimeton Allergy; Chlor-Trimeton Repetabs; Chlor-Tripolon; Chlorate; Chloropiril; Cloropiril; Efidac 24 Chlorpheniramine Maleate; Gen-Allerate; Haynon; Histadur; Kloromin; Mylaramine; Novo-Pheniram; Pediacare Allergy Formula; Phenetron; Piriton; Polaramine; Polaronil; Pyridamal 100; Telachlor; Teldrin"
"Nifedipine",,"Adalat; Adalat 10; Adalat 20; Adalat 5; Adalat CC; Adalat CR; Adalat Crono; Adalat Ft; Adalat Gits; Adalat Gits 30; Adalat LA; Adalat LP; Adalat Oros; Adalat PA; Adalat Retard; Adalate; Adapine; Adapress; Alat; Aldipin; Alfadal; Alonix; Alonix S; Alpha-Nifedipine Retard; Angipec; Anifed; Anpine; Apo-Nifed; Aprical; Bonacid; Calcibloc; Calcigard; Calcilat; Camont; Cardifen; Cardilat; Cardionorm; Chronadalate; Chronadalate Lp; Citilat; Coracten; Coral; Cordafen; Cordaflex; Cordalat; Cordicant; Cordilan; Cordipin; Corinfar; Corotrend; Corynphar; Depin; Dignokonstant; Dilafed; Dilcor; Dipinkor; Duranifin; Ecodipi; Ecodipin; Ecodipin E; Fedcor; Fedcor Retard; Fenamon; Fenamon Sr; Fenihidin; Fenihidine; Glopir; Hadipin; Hexadilat; Introcar; Kordafen; Macorel; Megalat; Myogard; N1fedilat; Nedipin; Nicardia; Nifangin; Nifar; Nifdemin; Nifebene; Nifecard; Nifecor; Nifedepat; Nifedicor; Nifedin; Nifedine; Nifedipine Retard; Nifedipres; Nifedirex LP; Nifelan; Nifelat; Nifelat Q; Nifelate; Nifensar XL; Nificard; Nifidine; Nifipen; Niphedipine; Orix; Oxcord; Pidilat; Procardia; Procardia XL; Sepamit; Tibricol; Zenusin"
"Trimethaphan","Thimethaphan; Trimetaphan; Trimetaphanum","Arfonad"
"Atovaquone",,"Malarone; Malarone Pediatric"
"Amiodarone","Amiodarona [INN-Spanish]; Amiodarone Base; Amiodarone HCL; Amiodarone Hydrochloride; Amiodaronum [INN-Latin]","Aminodarone; Amio-Aqueous IV; Amiodarons; Aratac; Arycor; Cordarone; Cordarone Intravenous; Labaz; Pacerone; pms-Amiodarone"
"Diazoxide",,"Dizoxide; Eudemine; Hyperstat; Hypertonalum; Mutabase; Proglicem; Proglycem"
"Gliclazide","1-(3-Azabicyclo(3.3.0)oct-3-yl)-3-(p-tolylsulfonyl)urea; 1-(Hexahydrocyclopenta(c)pyrrol-2(1H)-yl)-3-(p-tolylsulfonyl)urea; Gliclazida [INN-Spanish]; Gliclazidum [INN-Latin]; N-(4-Methylbenzenesulfonyl)-N'-(3-azabicyclo(3.3.0)oct-3-yl)urea","Diamicron; Diamicron MR; Glimicron; Mylan-Gliclazide; Nordialex; PMS-Gliclazide"
"Phenacemide","Carbamide phenylacetate; PA; Phenacetylcarbamide; Phenacetylurea; Phenylacetylurea; Phenylacetyluree","Acetylureum; Carbanmide; Cetylureum; Comitiadone; Eferon; Efron; Epheron; Epiclase; Felurea; Fenacemid; Fenacemide; Fenacetamide; Fenacetil-Karbamide; Fenilep; Fenised; Fenostenyl; Fenural; Fenurea; Fenurone; Fenylacetylmocovina; Fenytan; Neophedan; Neophenal; Phacetur; Phenacalum; Phenacereum; Phenacetur; Phenarone; Phenicarb; Phenuron; Phenurone; Phenutal; Phenyrit; Phetylureum"
"Ambenonium","Ambenonum","Mytelase"
"Proflavine",,"Isoflav Base; Pro-Gen; Proflavin; Profoliol-B; Proformiphen; Profura; Progarmed; Progesic"
"Tolbutamide",,"Aglicid; Apo-Tolbutamide; Arkozal; Artosin; Artozin; Butamid; Butamide; Diaben; Diabetamid; Diabetol; Diabuton; Diasulfon; Dirastan; Dolipol; Drabet; Glyconon; Ipoglicone; Mobenol; Novo-Butamide; Orabet; Oralin; Orezan; Orinase; Orinase Diagnostic; Orinaz; Oterben; Pramidex; Rastinon; Restinon; Sk-tolbutamide; Tol-Tab; Tolbusal; Tolbutamid; Toluina; Tolumid; Toluvan; Tolylsulfonylbutylurea; Willbutamide"
"Anisindione","Anisin indandione","Miradon; Unidone"
"Dutasteride","dutasteride","Avodart"
"Econazole",,"Econazole Nitrate; Ecostatin; Ecostatin cream; Ecostatin Vaginal Ovules; Gyno-Pevaryl; Gyno-Pevaryl 150; Ifenec; Palavale; Pevaryl; Spectazole; Spectazole cream"
"Bicalutamide",,"Casodex"
"Rabeprazole","Irsogladine Maleate; rabeprazole sodium; Rebeprazole sodium","AcipHex; Pariet"
"Prednicarbate",,"Dermatop; Dermatop E Emollient"
"Proguanil",,"Chloroguanide; Paludrine"
"Pioglitazone","Pioglitazona [INN-Spanish]; Pioglitazone [Ban:Inn]; pioglitazone HCl; Pioglitazone Hydrochloride; Pioglitazonum [INN-Latin]","Actos; Actost; Glustin"
"Tiludronate","Acide tiludronique [INN-French]; Acido tiludronico [INN-Spanish]; Acidum tiludronicum [INN-Latin]; Tiludronate disodium; Tiludronic acid; Tiludronic Acid Disodium Salt","Skelid"
"Desoxycorticosterone Pivalate","Deoxycorticosterone Pivalate; Deoxycorticosterone Trimethylacetate; Deoxycortolone Pivalate; Deoxycortone Pivalate; Deoxycortone Trimethylacetate; Desoxycorticosterone Trimethylacetate; Desoxycortone Pivalate; DOCP; DTMA","Cortexone M; Neodin-Depositum; Percorten; Percorten M; Percorten Pivalate"
"Doxacurium chloride",,"Nuromax"
"Carvedilol","carvedilol; Carvedilolum [Latin]","Coreg; Coreg CR"
"Levofloxacin","L-Ofloxacin; levofloxacin","Cravit; Cravit Ophthalmic; Elequine; Floxel; Iquix; Leroxacin; Lesacin; Levaquin; Levokacin; Levox; Levoxacin; Mosardal; Nofaxin; Quixin; Reskuin; Tavanic; Volequin"
"Sulfinpyrazone","Diphenylpyrazone; Sulfinpyrazine; Sulfinpyrazon; Sulfoxyphenylpyrazolidine; Sulphinpyrazone; Usaf Ge-13","Anturan; Anturane; Anturanil; Anturano; Anturen; Anturidin; Apo-Sulfinpyrazone; Enturan; Enturen; Novopyrazone"
"Cephapirin","Cefapirin; Cefapirina [INN-Spanish]; Cefapirine [INN-French]; Cefapirinum [INN-Latin]; Cefaprin; Cefaprin sodium; Cephapirin Sodium; Cephapirine","Ambrocef; Cefa; Cefadyl; Cefatrex; Cefatrexyl"
"Cefadroxil","CDX; Cefadroxil Monohydrate; Cefradroxil","Baxan; Bidocef; Cefa-Drops; Cefamox; Cephos; Duracef; Kefroxil; Oracefal; Sedral; Sumacef; Ultracef"
"Micafungin","FK-463; micafungin","Mycamine"
"Doxepin","Doxepin Hcl; Doxepin, Hydrochloride; Doxepina [INN-Spanish]; Doxepine; Doxepinum [INN-Latin]","Adapin; Aponal; Curatin; Quitaxon; Sinequan; Triadapin; Zonalon"
"Amifostine","amifostine; Amifostine Ethiofos; Aminopropylaminoethyl Thiophosphate; Apaetp; Ethiofos; Gammaphos; SAPEP; WR-1065","Ethyol"
"Dichlorphenamide","4,5-Dicholorobenzene-1,3-disulfonamide; Dichlofenamide; Dichlorophenamide; Dichlorphenamid; Diclofenamida [INN-Spanish]; Diclofenamide; Diclofenamidum [INN-Latin]","Antidrasi; Daranide; Dasanide; Glaucol; Oratrol"
"Sulfoxone","Adesulfone Sodium; Aldesulfone Sodium; Sodium Aldesulphone; Sodium Sulfoxone; Sulfoxone Sodium","Aldapsone; DDF; Diamidin; Diason; Diasone; Diasone Sodium; Diasone Sodium Enterab; Diazon; Novotrone"
"Diphenylpyraline","Diphenylpyralamine; Diphenylpyraline Hydrochloride; Diphenylpyrilene","Allergen; Belfene; Dafen; Dayfen; Diafen; Hispril; Histryl; Histyn; Hystryl; Lyssipoll; Mepiben; Neargal"
"Cloxacillin","Cloxacillin Sodium","Novo-Cloxin; Nu-Cloxi"
"Flavoxate","Flavoxate HCI; Flavoxate HCL","Urispas"
"Nefazodone","Nefazodona [Spanish]; Nefazodone Hcl; Nefazodone Hydrochloride; Nefazodonum [Latin]","Dutonin; Serzone"
"Cefprozil","Cefprozil anhydrous; Cefprozilo [INN-Spanish]; Cefprozilum [INN-Latin]","Arzimol; Brisoral; Cronocef; Procef; Serozil"
"Desipramine","Demethylimipramine; Desimipramine; Desimpramine; Desipramin; Desipramine Hcl; Desmethylimipramine; Dezipramine; Dimethylimipramine; DMI; Methylaminopropyliminodibenzyl; Monodemethylimipramine; Norimipramine; Norpramine","Norpramin; Pentofran; Pertofran; Pertrofane; Sertofran"
"Candicidin",,"Candicidin A; Candicidin D; FR-008-III; Vanobid"
"Sertaconazole","Sertaconazol [Spanish]; Sertaconazolum [Latin]","Ertaczo"
"Thiamylal",,"Surital; Thioseconal"
"Gemifloxacin","Gemifloxacin mesilate; gemifloxacin mesylate","Factive"
"Bupropion","Amfebutamone; Bupropion Hcl","Wellbatrin; Wellbutrin; Wellbutrin SR; Wellbutrin XL; Zyban"
"Trimetrexate","TMQ; TMX; Trimetrexato [INN-Spanish]; Trimetrexatum [INN-Latin]","Neutrexin"
"Bretylium","Bretylate; Bretylium p-toluenesulfonate; Bretylium tolsylate; Bretylium tosylate; Bretylum","Bretylan; Bretylol; Darenthin; Darentin; Ornid"
"Halothane","2-Bromo-2-Chloro-1,1,1-Trifluoroethane; Alotano [Dcit]; Bromchlortrifluoraethanum; Bromochlorotrifluoroethane; Cf3chclbr; Fluorotane; Fluorothane; Freon 123b1; Ftorotan [Russian]; Ftuorotan; Halotano [INN-Spanish]; Halothan; Halothanum [INN-Latin]; Narcotann Ne-Spofa [Russian]","Anestan; Chalothane; Fluktan; Fluothane; Halan; Halotan; Halothane; Halsan; Narcotan; Narcotane; Narkotan; Phthorothanum; Rhodialothan"
"Dinoprost Tromethamine","Dinoprost, trometamol salt; PGF2-alpha THAM; PGF2alpha THAM; Prostaglandin F2-alpha THAM; Prostaglandin F2a tromethamine; Prostaglandin F2alpha tham; Prostin F2 Alpha","Dinolytic; Ensaprost; Lutalyse; Panacelan F tromethamine salt; Pronalgon F; Prostalmon F; Zinoprost"
"Chloroprocaine","Chloroprocain; Chloroprocaine hydrochloride; Chlorprocaine","Halestyn; Nesacaine-CE; Nesacaine-MPF"
"Terazosin","Abbott 45975; Terazosin HCl; Terazosin hydrochloride; Terazosina [INN-Spanish]; Terazosine; Terazosine [INN-French]; Terazosinum [INN-Latin]; Trazosin HCl","Blavin; Flumarc; Fosfomic; Heitrin; Hytracin; Hytrin; Hytrinex; Itrin; Urodie; Vasomet; Vicard"
"Amdinocillin","Amdinocillin mecillinam; Mecillinam","Coactin"
"Calcium Chloride","Anhydrous calcium chloride; CaCl2; Calcium chloride anhydrous; Calcium chloride dihydrate; Calcium Chloride Dihydrate BP; Calcium chloride fused; Calcium chloride pellets; Calcium chloride solution; Calcium chloride, dihydrate; Calcium dichloride; Chip calcium chloride; Liquid calcium chloride","Bovikalc; Calcosan; Calmate R; Calol; Caloride; Calplus; Caltac; Calzina oral; Chrysoxel C 4; Daraccel; Dowflake; Homberg's phosphorus; HSDB 923; Huppert's reagent; Intergravin-orales; Jarcal; Liquical; Liquidow; Peladow; Snomelt; Stopit; Superflake anhydrous; Sure-step; U-Ramin MC; Unichem calchlor; Uramine MC"
"Ofloxacin",,"Akilen; Baccidal; Bactocin; Danoflox; Effexin; Exocin; Exocine; Flobacin; Flodemex; Flotavid; Flovid; Floxal; Floxil; Floxin; Floxstat; Fugacin; Inoflox; Kinflocin; Kinoxacin; Liflox; Loxinter; Marfloxacin; Medofloxine; Mergexin; Novecin; Nufafloqo; O-Flox; Obide; Occidal; Ofcin; Oflin; Oflocee; Oflocet; Oflocin; Oflodal; Oflodex; Oflodura; Oflox; Ofloxin; Ofus; Onexacin; Operan; Orocin; Otonil; Pharflox; Praxin; Puiritol; Qinolon; Qipro; Quinolon; Quotavil; Rilox; Sinflo; Tabrin; Taravid; Tariflox; Tarivid; Telbit; Tructum; Uro Tarivid; Viotisone; Zanocin"
"Cilostazol","Cilostazole; Cilostazolum [INN-Latin]","Pletaal; Pletal"
"Itraconazole","ITC; ITCZ; ITR; Itraconazol [Spanish]; itraconazole; Itraconazolum [Latin]; ITZ","Hyphanox; Itrizole; Oriconazole; Sporal; Sporanos; Sporanox; Sporonox; Triasporn"
"Procarbazine","Ibenzmethyzin; Ibenzmethyzine; Ibenzmethyzine hydrochloride; IBZ; MBH; MIH; MIH Hydrochloride; PCB; PCB hydrochloride; PCX; Procarbazin; Procarbazin [German]; Procarbazina [INN-Spanish]; Procarbazine hydrochloride; Procarbazinum [INN-Latin]","Matulane; Nathulane; Natulan; Natulan hydrochloride; Natulanar; Natunalar"
"Arsenic trioxide","Acide Arsenieux [French]; Anhydride Arsenieux [French]; Arseni Trioxydum; Arsenic Blanc [French]; Arsenic Oxide; Arsenic Oxidearsenous Trioxide; Arsenic Sesquioxide; arsenic trioxide; Arsenic Trioxide [UN1561] [Poison]; Arsenic, White; Arsenicum Album; Arsenigen Saure [German]; Arsenious Acid; Arsenious Acid Anhydride; Arsenious Oxide; Arsenious Trioxide; Arsenous Acid; Arsenous Acid Anhydride; Arsenous Anhydride; Arsenous Oxide; Arsenous Oxide Anhydride; Arsentrioxide; Crude Arsenic; Di-Arsenic Trioxide; Diarsenic Trioxide; Diarsonic Trioxide; HSDB 419; Oxyde Arsenieux [ISO-French]; Poison Flour; White Arsenic","Arsenite; Arsenolite; Arsodent; Claudelite; Claudetite; Trisenox"
"Guanethidine","Guanethidine Monosulfate; Guanethidine Sulphae","Abapresin; Apo-Guanethidine; Eutensol; Ismelin; Oktadin"
"Moclobemide","4-Chlor-N-(2-morpholinoethyl)benzamid; 4-Chloro-N-(2-(4-morpholinyl)ethyl)benzamide; 4-Chloro-N-(2-morpholin-4-yl-ethyl)-benzamide; Moclaime; Moclamide; Moclamine; Moclobemid; Moclobemida [INN-Spanish]; moclobemide; Moclobemide [Usan:Ban:Inn]; Moclobemidum [INN-Latin]; p-Chloro-N-(2-morpholinoethyl)benzamide","Aurorix; Manerix"
"Kanamycin","Aminodeoxykanamycin; KAN; Kanamycin Base; Kanamycin Sulfate; Nebramycin Factor 5","Bekanamycin; Kanamycin A; Kanamycin B; Kenamycin A; Klebcil"
"Orphenadrine","Mephenamine; O-Methyldiphenhydramine; Orphenadine; Orphenadrin; Orphenadrine Citrate; Orphenate; Orphenedrine","Antiflex; Banflex; Biorphen; Brocadisipal; Brocasipal; Disipal; Flexoject; Mio-Rel; Myolin; Myotrol; Norflex; Orfro"
"Phenobarbital","Fenobarbital; Phenobarbitol; Phenobarbitone; Phenobarbituric Acid; Phenylethylbarbiturate; Phenylethylbarbituric Acid; Phenylethylmalonylurea","Adonal; Aephenal; Agrypnal; Amylofene; Aphenylbarbit; Aphenyletten; Barbenyl; Barbinal; Barbiphen; Barbiphenyl; Barbipil; Barbita; Barbivis; Barbonal; Barbophen; Bardorm; Bartol; Bialminal; Blu-Phen; Cabronal; Calmetten; Calminal; Cardenal; Chinoin; Codibarbita; Coronaletta; Cratecil; Damoral; Dezibarbitur; Dormina; Dormiral; Dormital; Doscalun; Duneryl; Ensobarb; Ensodorm; Epanal; Epidorm; Epilol; Episedal; Epsylone; Eskabarb; Etilfen; Euneryl; Fenbital; Fenemal; Fenosed; Fenylettae; Gardenal; Gardepanyl; Glysoletten; Haplopan; Haplos; Helional; Hennoletten; Henotal; Hypnaletten; Hypnette; Hypno-Tablinetten; Hypnogen; Hypnolone; Hypnoltol; Hysteps; Lefebar; Leonal; Lephebar; Lepinal; Lepinaletten; Linasen; Liquital; Lixophen; Lubergal; Lubrokal; Lumen; Lumesettes; Lumesyn; Luminal; Lumofridetten; Luphenil; Luramin; Molinal; Neurobarb; Nirvonal; Noptil; Nova-Pheno; Nunol; Parkotal; Pharmetten; Phen-Bar; Phenaemal; Phenemal; Phenemalum; Phenobal; Phenobarbyl; Phenoluric; Phenolurio; Phenomet; Phenonyl; Phenoturic; Phenyletten; Phenyral; Phob; Polcominal; Promptonal; Seda-Tablinen; Sedabar; Sedicat; Sedizorin; Sedlyn; Sedofen; Sedonal; Sedonettes; Sevenal; Sinoratox; Solfoton; Solfoton Talpheno; Solu-Barb; Sombutol; Somnolens; Somnoletten; Somnosan; Somonal; Spasepilin; Starifen; Starilettae; Stental; Stental Extentabs; Talpheno; Teolaxin; Teoloxin; Thenobarbital; Theoloxin; Triabarb; Tridezibarbitur; Triphenatol; Versomnal; Zadoletten; Zadonal"
"Escitalopram","escitalopram; Escitalopram Oxalate","Cipralex; Lexapro"
"Cyclizine","Ciclizina [INN-Spanish]; Cyclizine Chloride; Cyclizine Hydrochloride; Cyclizinum [INN-Latin]","Emoquil; Marazine; Marezine; Marezine Hydrochloride; Marzine; Nautazine; Ne-Devomit; Neo-Devomit; Reis-Fit; Valoid; Wellcome"
"Idarubicin","Idarubicin Hcl; Idarubicin Hydrochloride; Idarubicina [INN-Spanish]; Idarubicine [INN-French]; Idarubicinum [INN-Latin]","Idamycin; Idamycin PFS; Idarubicin Aglycone; Idarubicin HCl PFS"
"Chlormezanone","Chlormethazanone; Chlormethazone; Chlormezanon; Chlormezanone [BAN:INN:JAN]; Chlormezanonum [INN-Latin]; Clormetazanone; Clormetazon; Clormezanona [INN-Spanish]; Clormezanone [DCIT]; Dichloromethazanone; Dichloromezanone; dl-Chlormezanone","Alinam; Banabil-sintyal; Banabin; Banabin-Sintyal; Banabin-syntyal; Bisina; Chlomedinon; Clorilax; Lobak; Mio-Sed; Miorilax; Muskel; Muskel-Trancopal; Myolespen; Phenarol; Rexan; Rilansyl; Rilaquil; Rilasol; Rilassol; Rilax; Rillasol; Supotran; Suprotan; Tanafol; Trancopal; Trancote; Tranrilax; Transanate"
"Podofilox","Podophyllinic acid lactone","Podophyllotoxin; Podophyllotoxin 7"
"Rescinnamine","Methyl Trimethoxycinnamoylreserpate; Recinnamine; Rescinnamin; Reserpinene; Reserpinin; Reserpinine; Trimethoxycinnamoyl Methyl Reserpate","Anapral; Anaprel; Apolon; Apoterin; Apoterin S; Cartric; Cinamine; Cinatabs; Cinnaloid; Cinnasil; Moderil; Normorescina; Paresinan; Raupyrol; Raurescin; Raurescine; Recitensina; Rescaloid; Rescamin; Rescidan; Rescin; Rescinpal; Rescisan; Rescitens; Resealoid; Resipal; Reskinnamin; Rozex; Scinnamina; Tenamine; Tsuruselpi S; Tuareg"
"Ifosfamide","Asta Z 4942; I-Phosphamide; Ifosfamid; Ifosfamide Sterile; Ifosphamide; Ifsofamide; Iphosphamid; Iphosphamide; Isofosfamide; Isophosphamide","Cyfos; Holoxan 1000; IFEX; Ifex/Mesnex Kit; Ifosfamide/Mesna Kit; Isoendoxan; Mitoxana; Naxamide"
"Propafenone","Propafenona [INN-Spanish]; Propafenone HCl; Propafenone hydrochloride; Propafenone-HCl; Propafenonum [INN-Latin]","Rythmol; Rythmol SR"
"Naloxone","EN 1530 Base; L-Naloxone; N-Allylnoroxymorphone; Nalossone [Dcit]; Naloxona [INN-Spanish]; Naloxone HCl; Naloxonum [INN-Latin]","Nalone; Narcan; Narcanti; Narcon"
"Domperidone",,"Lopac-D-122; Motilium; Nauzelin"
"Fluoxymesterone","Androfluorene; Androfluorone; Fluossimesterone [DCIT]; Fluoximesterona [INN-Spanish]; Fluoximesterone; Fluoximesteronum; Fluoxymesteronum [INN-Latin]; Fluoxymestrone; FXM","Anadroid-F; Android-f; Androsterolo; Fluosterone; Fluotestin; Flusteron; Flutestos; Halotestin; Neo-Ormonal; Ora Testryl; Ora-testryl; Oralsterone; Oratestin; Testoral; Ultandren; Ultandrene"
"Pergolide","Pergolida [INN-Spanish]; Pergolide Mesylate; Pergolide Methanesulfonate; Pergolidum [INN-Latin]","Permax"
"Iophendylate",,"Pantopaque"
"Ciclopirox","ciclopirox; Ciclopirox Olamin; Ciclopirox-Olamin; ciclopiroxolamine; Ciclopiroxum [INN-Latin]; CPO; HOE 296b; HOE-296b","Loprox; Loprox Shampoo; Penlac; Penlac Nail Lacquer; Stieprox"
"Desflurane","Desflurano [INN-Spanish]; Desfluranum [INN-Latin]","Suprane"
